Stock name,Symbol,Link
Bharat 22 ETF,ICICIB22,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ICICIB22"""
Icici Bank Limited,ICICIBANK,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ICICIBANK"""
ICICI Lombard General Insurance Company Ltd,ICICIGI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ICICIGI"""
Icici Prudential Life Insurance Company Limited,ICICIPRULI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ICICIPRULI"""
Indo Count Industries Limited,ICIL,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ICIL"""
Icra Limited,ICRA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:ICRA"""
Idbi Bank Limited,IDBI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IDBI"""
Idea Cellular Limited,IDEA,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IDEA"""
Ideaforge Technology Ltd,IDEAFORGE,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IDEAFORGE"""
IDFC First Bank Ltd,IDFCFIRSTB,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IDFCFIRSTB"""
Bandhan Nifty 50 ETF,IDFNIFTYET,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IDFNIFTYET"""
Indian Energy Exchange Ltd,IEX,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IEX"""
Ifb Agro Industries Limited,IFBAGRO,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IFBAGRO"""
Ifb Industries Limited,IFBIND,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IFBIND"""
Ifci Limited,IFCI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IFCI"""
IFGL Refractories Ltd,IFGLEXPOR,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IFGLEXPOR"""
Igarashi Motors India Limited,IGARASHI,"""https://in.tradingview.com/chart/2bVEvBAI/?symbol=NSE:IGARASHI"""
